Taxonomy	SRR28210342	SRR28210343	SRR28210344	SRR28210345	SRR28210346	SRR28210347	SRR28210348	SRR28210349	SRR28210350	SRR28210351	SRR28210352	SRR28210353	SRR28210354	SRR28210355	SRR28210356	SRR28210357	SRR28210358	SRR28210359	SRR28210360	SRR28210361	SRR28210362	SRR28210363	SRR28210364	SRR28210365	SRR28210366	SRR28210367	SRR28210368	SRR28210369	SRR28210370	SRR28210371	SRR28210372	SRR28210373	SRR28210374	SRR28210375	SRR28210376	SRR28210377	SRR28210378	SRR28210379	SRR28210380	SRR28210381
Acidimicrobiia	2246	1585	1415	1275	230	1621	344	331	174	455	224	883	171	325	309	475	701	452	676	544	120	177	92	404	287	392	321	1652	284	798	1349	859	464	596	117	557	1333	373	906	1193
Acidithiobacillia	736	667	502	1011	213	744	331	84	380	163	199	336	120	101	141	266	504	321	241	336	119	141	194	439	182	182	155	450	165	231	259	457	429	224	168	483	254	425	1104	426
Aconoidasida	4373	4059	1802	2535	753	2538	2082	405	1541	1834	1589	2301	961	751	849	1465	2597	1259	2112	933	1240	1331	2405	1760	829	2288	1383	1499	1689	940	2428	1921	1754	782	1566	1228	1723	2749	4051	2421
Actinomycetes	2458729	2406382	5591360	7691717	2204269	1883177	1874381	8132621	3395435	678382	2196488	5338760	8054314	12880031	3651698	4950585	2150512	2203778	3475918	891267	11784150	712714	2438974	1758873	3103386	1408766	699176	6541420	2375503	237628	7330349	722992	2190930	2272503	6198888	1623001	10998704	2702426	3279896	13039202
Agaricomycetes	132	189	149	183	59	147	45	71	126	131	76	114	53	28	55	107	217	91	48	89	63	64	91	132	114	75	81	180	185	73	114	166	112	57	128	167	162	201	113	690
Ainoaviricetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Alphaproteobacteria	271386	242958	164020	173868	52322	182720	58247	35719	53451	71946	66818	118022	18855	35588	72557	49280	103447	72273	95809	103486	24259	20678	50662	124729	45105	59480	60543	155909	46109	97434	125534	110237	96634	62918	45341	82227	113420	105852	206678	113166
Alsuviricetes	28	2	13	6	0	1	0	1	15	2	0	0	0	5	0	0	6	24	1	1	0	3	1	1	2	4	2	0	3	1	2	3	1	4	0	0	1	2	3	0
Amabiliviricetes	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	7	0	0	0	0	0	3	0	0
Anaerolineae	852	690	387	349	143	277	342	90	157	338	135	480	49	91	194	240	300	252	138	212	128	48	102	186	100	168	133	397	196	287	301	182	141	133	287	283	247	191	1083	416
