Taxonomy	SRR28210342	SRR28210343	SRR28210344	SRR28210345	SRR28210346	SRR28210347	SRR28210348	SRR28210349	SRR28210350	SRR28210351	SRR28210352	SRR28210353	SRR28210354	SRR28210355	SRR28210356	SRR28210357	SRR28210358	SRR28210359	SRR28210360	SRR28210361	SRR28210362	SRR28210363	SRR28210364	SRR28210365	SRR28210366	SRR28210367	SRR28210368	SRR28210369	SRR28210370	SRR28210371	SRR28210372	SRR28210373	SRR28210374	SRR28210375	SRR28210376	SRR28210377	SRR28210378	SRR28210379	SRR28210380	SRR28210381
Acidobacteriota	8895	8270	5186	5800	1993	6159	1776	1334	1650	2373	2000	5469	768	1127	2579	1845	3045	2437	2923	3780	612	687	1223	3934	1649	1751	1749	5648	1627	2659	4134	3626	3123	1994	1410	2727	3195	3501	6640	4411
Actinomycetota	4493569	4074611	6467311	8919472	2833452	2368932	2028456	10972934	4335137	972734	2689390	7355953	9062159	13202914	3821360	5028105	3204094	2998121	4521067	1514955	11925271	1567339	2697779	2584676	4306410	2254883	752114	8276215	4645216	366349	7813130	1459009	2258270	2999177	6373607	1802967	11285026	4567838	5263867	13254058
Apicomplexa	5004	4899	2210	3097	983	3244	2486	562	1726	2125	1761	2632	1090	914	1026	1657	3307	1482	2353	1321	1507	1490	2536	1998	1033	2782	1674	2177	1866	1349	3026	2328	2280	956	1727	1485	2058	3118	4872	3137
Aquificota	904	723	516	406	145	443	88	76	112	476	295	631	166	127	198	112	434	187	219	114	148	75	167	271	235	190	320	195	592	149	436	469	649	114	250	194	184	485	703	599
Armatimonadota	606	652	352	376	236	444	121	113	171	421	207	313	49	49	211	40	236	120	291	232	139	45	84	258	119	159	221	238	122	178	294	227	317	94	47	349	145	158	669	102
Artverviricota	257	182	0	211	32	41	0	91	27	6	4	63	62	34	18	2	87	49	34	7	18	0	20	63	42	57	43	8	4	55	96	101	27	9	21	38	37	158	214	15
Ascomycota	10462	11949	7673	7404	2485	8063	4858	1980	4706	5078	4237	4538	1374	2132	3991	3880	6629	4133	4327	3854	4582	1762	4250	5559	2985	4622	3171	6755	3945	5016	6821	5968	4577	2863	3505	7236	4786	5781	11017	8720
Atribacterota	269	84	122	138	24	46	151	120	38	65	129	36	4	31	14	31	100	18	28	98	13	9	25	21	80	20	32	54	45	74	61	70	235	10	28	58	23	29	94	383
Bacillariophyta	199	249	84	114	64	107	21	102	10	175	103	51	18	32	71	60	64	83	36	57	80	24	27	71	31	47	41	144	143	56	124	120	54	79	33	75	82	84	173	170
Bacillota	27223371	21025380	39502290	27591131	12337545	23444379	20282946	11269811	13668648	22368842	9944464	7076511	2904972	16382067	19788556	24571327	22966922	20759054	15440158	9733222	20231704	24093254	16854412	14645231	15830345	10038581	14632197	20550548	16602156	18685327	18510688	16623962	10171834	15786826	22668349	18716976	30529418	23179594	13715595	32319345
