"","Feature","P","FDR","FC","NPC association"
"Serratia","Serratia",2.46956384320683e-07,0.000524329809342466,1.17533253724571,"depleted"
"Thauera","Thauera",9.36618811269681e-07,0.000524329809342466,1.28024452642549,"depleted"
"Natrarchaeobaculum","Natrarchaeobaculum",2.04584715127994e-06,0.000524329809342466,0.92635948540823,"enriched"
"Cupriavidus","Cupriavidus",2.42567161007485e-06,0.000524329809342466,1.24171283193406,"depleted"
"Pandoravirus","Pandoravirus",2.84429414704926e-06,0.000524329809342466,0.920655646653944,"enriched"
"Burkholderia","Burkholderia",3.86417841496718e-06,0.000524329809342466,1.19629071842589,"depleted"
"Defluviimonas","Defluviimonas",5.25100508140152e-06,0.000524329809342466,0.938715838580162,"enriched"
"Marinobacterium","Marinobacterium",6.87854493293873e-06,0.000524329809342466,1.17799649694013,"depleted"
"Bordetella","Bordetella",7.92592137395943e-06,0.000524329809342466,1.21704234495406,"depleted"
"Audreyjarvisvirus","Audreyjarvisvirus",1.0081301654793e-05,0.000524329809342466,0.895408798688028,"enriched"
"Thermoplasma","Thermoplasma",1.19007377676743e-05,0.000524329809342466,0.917353293685804,"enriched"
"Sulfodiicoccus","Sulfodiicoccus",1.52675802925169e-05,0.000524329809342466,0.907378337247776,"enriched"
"Fontisubflavum","Fontisubflavum",1.53917429449892e-05,0.000524329809342466,0.920133823499674,"enriched"
"Alcyoneusvirus","Alcyoneusvirus",1.55861403664672e-05,0.000524329809342466,0.918668802487461,"enriched"
"Pyrolobus","Pyrolobus",1.62235917569344e-05,0.000524329809342466,0.909740056034897,"enriched"
"Croceimicrobium","Croceimicrobium",1.64884218697973e-05,0.000524329809342466,0.915175515557893,"enriched"
"Wigglesworthia","Wigglesworthia",1.81176339007025e-05,0.000524329809342466,0.919586049817155,"enriched"
"Hydrogenophilus","Hydrogenophilus",1.83547442634513e-05,0.000524329809342466,0.917057283554468,"enriched"
"Conexivisphaera","Conexivisphaera",1.83788591128248e-05,0.000524329809342466,0.915518489210724,"enriched"
"Caldimicrobium","Caldimicrobium",1.84546422908926e-05,0.000524329809342466,0.889370340052688,"enriched"
"Diaphorobacter","Diaphorobacter",1.86825969910566e-05,0.000524329809342466,1.22941744738017,"depleted"
"Montyvirus","Montyvirus",1.89414340912225e-05,0.000524329809342466,0.910385562744076,"enriched"
"Cinqassovirus","Cinqassovirus",1.9025845883032e-05,0.000524329809342466,0.912980672867139,"enriched"
"Candidozyma","Candidozyma",1.97718023886817e-05,0.000524329809342466,0.921572457345573,"enriched"
"Maritalea","Maritalea",1.99249922305862e-05,0.000524329809342466,0.903597968668211,"enriched"
"Ralstonia","Ralstonia",2.0092445430675e-05,0.000524329809342466,1.17231828393297,"depleted"
"Ignicoccus","Ignicoccus",2.01435919236069e-05,0.000524329809342466,0.913728772278566,"enriched"
"Massilia","Massilia",2.06077166383588e-05,0.000524329809342466,1.2418741188469,"depleted"
"Homburgvirus","Homburgvirus",2.18712632719539e-05,0.000524329809342466,0.910655159818245,"enriched"
"Exceevirus","Exceevirus",2.2529364761153e-05,0.000524329809342466,0.913170292217999,"enriched"
"Mahstovirus","Mahstovirus",2.34199268632544e-05,0.000524329809342466,0.904786544102409,"enriched"
"Candidatus Profftella","Candidatus Profftella",2.41167298812571e-05,0.000524329809342466,0.91171188111178,"enriched"
"Pijolavirus","Pijolavirus",2.41327407261323e-05,0.000524329809342466,0.918477567887704,"enriched"
"Cbunavirus","Cbunavirus",2.41502051624213e-05,0.000524329809342466,0.912336547034285,"enriched"
"Simonsiella","Simonsiella",2.48170417670522e-05,0.000524329809342466,0.915349495862569,"enriched"
"Dismasvirus","Dismasvirus",2.61977886433899e-05,0.000524329809342466,0.911826350774589,"enriched"
"Pantoea","Pantoea",2.64516636131965e-05,0.000524329809342466,1.15200844945558,"depleted"
"Rudivirus","Rudivirus",2.64957178333836e-05,0.000524329809342466,0.912748563959506,"enriched"
"Candidatus Mancarchaeum","Candidatus Mancarchaeum",2.68517205649047e-05,0.000524329809342466,0.912854100659611,"enriched"
"Hirschia","Hirschia",2.72049175867874e-05,0.000524329809342466,0.90111409742002,"enriched"
"Bragavirus","Bragavirus",2.73977636129229e-05,0.000524329809342466,0.910091828137614,"enriched"
"Benedictvirus","Benedictvirus",2.81339319785343e-05,0.000524329809342466,0.91071301270562,"enriched"
"Thermovibrio","Thermovibrio",2.86596599349957e-05,0.000524329809342466,0.919881371726527,"enriched"
"Godonkavirus","Godonkavirus",2.9631871291239e-05,0.000524329809342466,0.912045543614227,"enriched"
"Paractinoplanes","Paractinoplanes",2.97235221981762e-05,0.000524329809342466,0.913229714472796,"enriched"
"Halomicrococcus","Halomicrococcus",3.02670506087499e-05,0.000524329809342466,0.915786255957274,"enriched"
"Candidatus Nasuia","Candidatus Nasuia",3.03661154560509e-05,0.000524329809342466,0.910013443937687,"enriched"
"Phapecoctavirus","Phapecoctavirus",3.06945018851439e-05,0.000524329809342466,0.90752201783617,"enriched"
"Saccharibacillus","Saccharibacillus",3.0931939005867e-05,0.000524329809342466,1.12683218715133,"depleted"
"Cystovirus","Cystovirus",3.14292213691634e-05,0.000524329809342466,0.907913912087983,"enriched"
"Spongiactinospora","Spongiactinospora",3.15495952070506e-05,0.000524329809342466,0.915457352504213,"enriched"
"Gayadomonas","Gayadomonas",3.20027218544862e-05,0.000524329809342466,0.909227229093737,"enriched"
"Chloriridovirus","Chloriridovirus",3.28964858516228e-05,0.000524329809342466,0.915948363495796,"enriched"
"Miltoncavirus","Miltoncavirus",3.35105935790383e-05,0.000524329809342466,0.913027697322984,"enriched"
"Sepunavirus","Sepunavirus",3.38190366724875e-05,0.000524329809342466,0.912933225605333,"enriched"
"Noxifervirus","Noxifervirus",3.38306561805491e-05,0.000524329809342466,0.912769747337226,"enriched"
"Candidatus Nitrosocaldus","Candidatus Nitrosocaldus",3.56023800168414e-05,0.000524329809342466,0.908786218690711,"enriched"
"Hautrevirus","Hautrevirus",3.60068291642567e-05,0.000524329809342466,0.914200410576234,"enriched"
"Aliisedimentitalea","Aliisedimentitalea",3.65182453842148e-05,0.000524329809342466,0.915121666818608,"enriched"
"Candidatus Nanohalobium","Candidatus Nanohalobium",3.68532809790721e-05,0.000524329809342466,0.908791183238653,"enriched"
"Omegavirus","Omegavirus",3.77552772583404e-05,0.000524329809342466,0.912783757491924,"enriched"
"Deltaentomopoxvirus","Deltaentomopoxvirus",3.84750119805551e-05,0.000524329809342466,0.917937931212395,"enriched"
"Chivirus","Chivirus",3.84929344851882e-05,0.000524329809342466,0.909227346653649,"enriched"
"Thiosulfatimonas","Thiosulfatimonas",3.87279285821633e-05,0.000524329809342466,0.927925325084279,"enriched"
"Cytorhabdovirus","Cytorhabdovirus",3.95014823459015e-05,0.000524329809342466,0.915071795608631,"enriched"
"Shalavirus","Shalavirus",4.03879544831959e-05,0.000524329809342466,0.908637352692622,"enriched"
"Lahexavirus","Lahexavirus",4.0488080716424e-05,0.000524329809342466,0.913055091908006,"enriched"
"Ludhianavirus","Ludhianavirus",4.05427428449868e-05,0.000524329809342466,0.914903670003861,"enriched"
"Camvirus","Camvirus",4.08126955806039e-05,0.000524329809342466,0.914233338409496,"enriched"
"Poindextervirus","Poindextervirus",4.08929317081621e-05,0.000524329809342466,0.901413101518672,"enriched"
"Norovirus","Norovirus",4.12057242530542e-05,0.000524329809342466,0.912789423251012,"enriched"
"Usarudivirus","Usarudivirus",4.13255207814163e-05,0.000524329809342466,0.913237156779325,"enriched"
"Percavirus","Percavirus",4.16046279125703e-05,0.000524329809342466,0.911469715204761,"enriched"
