"","Variable","Feature","N1","N2","Mean1","Mean2","Beta","SE","P","FDR","FC","FC_lower","FC_upper"
"Serratia","Group","Serratia",20,20,33.3455,15.5135,0.233068996757079,0.0372042492184293,2.46956384320683e-07,0.000524329809342466,1.17533253724571,1.11740227933296,1.23626611351918
"Thauera","Group","Thauera",20,20,12.9235,3.937,0.35641939098239,0.0610056667987044,9.36618811269681e-07,0.000524329809342466,1.28024452642549,1.17841547738193,1.39087281090693
"Natrarchaeobaculum","Group","Natrarchaeobaculum",20,19,0.214,0.1685,-0.110355936852505,0.019723949801112,2.04584715127994e-06,0.000524329809342466,0.92635948540823,0.901866077421485,0.951518099737497
"Cupriavidus","Group","Cupriavidus",20,20,38.596,15.287,0.312331563375157,0.0563668079527896,2.42567161007485e-06,0.000524329809342466,1.24171283193406,1.15017438992842,1.34053650515175
"Pandoravirus","Group","Pandoravirus",20,19,0.161,0.1395,-0.119266449712653,0.0217220248479649,2.84429414704926e-06,0.000524329809342466,0.920655646653944,0.893883289041595,0.948229852942637
"Burkholderia","Group","Burkholderia",20,20,66.4885,30.1805,0.258568030894245,0.0479421186823521,3.86417841496718e-06,0.000524329809342466,1.19629071842589,1.12085641637555,1.27680179377448
"Defluviimonas","Group","Defluviimonas",19,19,0.3365,0.231,-0.0912395933605872,0.0172283784018957,5.25100508140152e-06,0.000524329809342466,0.938715838580162,0.916999457208744,0.960946507300566
"Marinobacterium","Group","Marinobacterium",20,20,4.908,1.803,0.236335248969206,0.0453621762885125,6.87854493293873e-06,0.000524329809342466,1.17799649694013,1.10759111327607,1.25287728492033
"Bordetella","Group","Bordetella",20,20,23.662,9.6825,0.283379365087339,0.0548674839069618,7.92592137395943e-06,0.000524329809342466,1.21704234495406,1.1296212212086,1.31122896914643
"Audreyjarvisvirus","Group","Audreyjarvisvirus",7,10,0.0065,0.0765,-0.159381600008406,0.0313247823893806,1.0081301654793e-05,0.000524329809342466,0.895408798688028,0.858102460763332,0.934337044150565
"Thermoplasma","Group","Thermoplasma",19,17,0.0905,0.0785,-0.124450639269553,0.0247170873233298,1.19007377676743e-05,0.000524329809342466,0.917353293685804,0.887060168439154,0.948680929859514
"Sulfodiicoccus","Group","Sulfodiicoccus",18,19,0.052,0.0785,-0.140223877691836,0.0282981451463371,1.52675802925169e-05,0.000524329809342466,0.907378337247776,0.873156254624106,0.942941704358498
"Fontisubflavum","Group","Fontisubflavum",20,19,0.143,0.1265,-0.120084394088432,0.0242465639452091,1.53917429449892e-05,0.000524329809342466,0.920133823499674,0.890317822056492,0.950948337968245
"Alcyoneusvirus","Group","Alcyoneusvirus",8,6,0.0435,0.028,-0.122383258541267,0.0247308276731962,1.55861403664672e-05,0.000524329809342466,0.918668802487461,0.888315653574572,0.950059098100649
"Pyrolobus","Group","Pyrolobus",6,7,0.011,0.031,-0.136473718193925,0.0276500102737712,1.62235917569344e-05,0.000524329809342466,0.909740056034897,0.87620008617848,0.944563898828232
"Croceimicrobium","Group","Croceimicrobium",19,19,0.136,0.1415,-0.127879639859918,0.0259361166783285,1.64884218697973e-05,0.000524329809342466,0.915175515557893,0.883489914859083,0.947997492886203
"Wigglesworthia","Group","Wigglesworthia",18,17,0.104,0.087,-0.120943514447042,0.024680745238625,1.81176339007025e-05,0.000524329809342466,0.919586049817155,0.889263098494734,0.950942982397157
