# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR28210361
UNGROUPED	20823696.861834098
UNGROUPED|s__Acidaminococcus_massiliensis.t__SGB5742	415.6117797913
UNGROUPED|s__Adlercreutzia_equolifaciens.t__SGB14798	1058.9606245639
UNGROUPED|s__Agathobaculum_butyriciproducens.t__SGB14993	648.8408636311
UNGROUPED|s__Akkermansia_muciniphila.t__SGB9228	86157.099334028
UNGROUPED|s__Alistipes_communis.t__SGB2290	1009.6539994477
UNGROUPED|s__Alistipes_finegoldii.t__SGB2301	7019.0154414661
UNGROUPED|s__Alistipes_indistinctus.t__SGB2325	9209.5798764925
UNGROUPED|s__Alistipes_provencensis.t__SGB2298	3680.5487467463
UNGROUPED|s__Alistipes_putredinis.t__SGB2318	76741.1301436609
UNGROUPED|s__Alistipes_sp_AF17_16.t__SGB2326	3036.8270481078
UNGROUPED|s__Alistipes_sp_D31t1_170403_E11.t__SGB2293	3392.4338007198
UNGROUPED|s__Allisonella_histaminiformans.t__SGB5843	454.8962259289
UNGROUPED|s__Amedibacillus_dolichus.t__SGB4035	805.3996131398
UNGROUPED|s__Anaerobutyricum_hallii.t__SGB4532	5654.5343809365
UNGROUPED|s__Anaerobutyricum_soehngenii.t__SGB4537	3761.2523645428
UNGROUPED|s__Anaeromassilibacillus_sp_An250.t__SGB14894	2471.6381309963
UNGROUPED|s__Anaerostipes_hadrus.t__SGB4540_group	1211.0600631269
UNGROUPED|s__Anaerotignum_faecicola.t__SGB5190	5232.1800317675
UNGROUPED|s__Anaerotruncus_colihominis.t__SGB14963	3672.88503466
UNGROUPED|s__Bacteroides_caccae.t__SGB1877	14538.8453749501
UNGROUPED|s__Bacteroides_cellulosilyticus.t__SGB1844	4183.9493924233
UNGROUPED|s__Bacteroides_congonensis.t__SGB1878	13357.4541056659
UNGROUPED|s__Bacteroides_finegoldii.t__SGB1862	9428.390918899
UNGROUPED|s__Bacteroides_fragilis.t__SGB1855	6433.266113001
UNGROUPED|s__Bacteroides_intestinalis.t__SGB1846	4514.6076002023
UNGROUPED|s__Bacteroides_nordii.t__SGB1858	9677.7011666293
UNGROUPED|s__Bacteroides_ovatus.t__SGB1871	7326.4389232148
UNGROUPED|s__Bacteroides_stercoris.t__SGB1830	26961.5007409833
UNGROUPED|s__Bacteroides_thetaiotaomicron.t__SGB1861	5232.7555425519
UNGROUPED|s__Bacteroides_uniformis.t__SGB1836	26653.8189214998
UNGROUPED|s__Bacteroides_xylanisolvens.t__SGB1867	13405.721071149
UNGROUPED|s__Bifidobacterium_adolescentis.t__SGB17244_group	481.5751907656
UNGROUPED|s__Bifidobacterium_bifidum.t__SGB17256	12415.5933116194
UNGROUPED|s__Bifidobacterium_longum.t__SGB17248	1435.2781736623
UNGROUPED|s__Bilophila_wadsworthia.t__SGB15452	2121.2183398314
UNGROUPED|s__Blautia_SGB4815.t__SGB4815	3304.5413744591
UNGROUPED|s__Blautia_faecicola.t__SGB4867	1633.5521796762
UNGROUPED|s__Blautia_faecis.t__SGB4820	4628.5270013046
UNGROUPED|s__Blautia_glucerasea.t__SGB4816	1669.4547820354
UNGROUPED|s__Blautia_massiliensis.t__SGB4826	5037.258293208
UNGROUPED|s__Blautia_obeum.t__SGB4809	7703.7716823505
UNGROUPED|s__Blautia_obeum.t__SGB4810	1961.4765677477
UNGROUPED|s__Blautia_obeum.t__SGB4811	6854.6549328461
UNGROUPED|s__Blautia_sp_Marseille_P3087.t__SGB4813	5332.009062257
UNGROUPED|s__Blautia_stercoris.t__SGB4788	1927.4200651868
UNGROUPED|s__Blautia_wexlerae.t__SGB4831	1454.1933360313
UNGROUPED|s__Blautia_wexlerae.t__SGB4837	11509.8131812665
UNGROUPED|s__Butyricicoccus_sp_AM29_23AC.t__SGB14991	997.7775657775
