Pathway	KO	SRR28210342	SRR28210343	SRR28210344	SRR28210345	SRR28210346	SRR28210347	SRR28210348	SRR28210349	SRR28210350	SRR28210351	SRR28210352	SRR28210353	SRR28210354	SRR28210355	SRR28210356	SRR28210357	SRR28210358	SRR28210359	SRR28210360	SRR28210361	SRR28210362	SRR28210363	SRR28210364	SRR28210365	SRR28210366	SRR28210367	SRR28210368	SRR28210369	SRR28210370	SRR28210371	SRR28210372	SRR28210373	SRR28210374	SRR28210375	SRR28210376	SRR28210377	SRR28210378	SRR28210379	SRR28210380	SRR28210381
 aspartate and glutamate metabolism [PATH:ko00250]	K00812K00813K11358K00278K01779K01424K13051K01914K01953K22457K13566K09758K14260K00830K00259K19244K01744K01940K01755K01939K01756K00609K00610K01580K00823K07250K00135K08324K00265K00266K15371K00260K00261K00262K00294K13821K01915K01955K01956K01425K23265K00820K00764	770.0561523596	892.869710736	1143.8709028968	1214.1166564987	1871.1125006316	1430.0705867611	838.5737735158	1882.2550836295	1434.0702210324	914.0226963901999	1596.7741657699	1369.486992098	3962.559771651	2085.8260325929	1079.9157407618	898.4550648155	1246.7607014034	906.4324407744	1241.1828573757	1240.3332498777	1802.2685986617	1184.660167349	947.9451167688001	1025.0723526926	1537.3193818877	1516.638021201	1418.5549307223	1763.5364667778	1156.0346552401	1042.5649910728	1207.8760662930001	770.1976272008	1418.7912778294	1355.1112677817	1323.6901165804	1121.5075768927	1586.3736949273	1491.7748418835	1353.5865865394	1470.5237451682
 kanamycin and gentamicin biosynthesis [PATH:ko00524]	K00844K00845	15.892005688200001	27.4301407106	14.9802882983	29.2955912993	64.3026028777	35.7540825467	28.0303853285	22.943684193	48.9236930331	39.2824136391	47.568604301	34.80573685	91.4048927875	40.5002460961	35.827550281600004	29.0385454249	30.456367839000002	9.318163288700001	36.310076703	37.5918073188	30.2904455429	24.860109123	26.3674169265	32.568884868699996	48.6772370807	41.610186116099996	49.361473843	40.8916800119	36.596736980100005	28.744637634700002	21.8923567969	33.6035935042	58.2971525228	21.6765317037	32.944351898799994	20.4855483922	32.1119074781	36.1158837875	32.5103637797	83.02584902710001
 leucine and isoleucine biosynthesis [PATH:ko00290]	K01754K09011K01703K01704K00052K01652K01653K11258K00053K01687K00826K00835K14260K01649	333.2433954609	407.50431927019997	498.7466208424	683.7381525863	834.5533075943	642.599945162	398.92726530790003	1135.5355832549	722.7062403179	357.55802653110004	704.1161201666	678.6418300765	2246.2747072241	1405.5733988781	674.614186797	641.7957584256001	499.4159841899	429.5330338117	655.0765418611	478.586177122	1143.9902369748	586.598026676	509.3234892308	512.5092002609	827.6621558407	645.7323331993	534.3139469216	864.2465301138	608.4690905717999	421.5973591092	765.7071835246	326.63383002529997	674.5295624984	586.7538243409	800.5061626763	523.8369573894	996.0999828028	595.0011880921	604.0080816094	962.3715509533
 leucine and isoleucine degradation [PATH:ko00280]	K00826K11381K00382K00186K00248K00249K00253K01692K01825K01782K00632K01966K11263K05606K01847K01849K01848K00020K00140K00128K00822K07250K01640K01028K01029K01907K00626K01641	89.58907147160001	136.0555941206	74.306597942	191.2940164955	314.70046589460003	210.5943868817	82.9875959795	174.1394873056	124.6827107436	89.22570309630001	200.2004415873	181.7025417286	1080.7927655533001	273.93939453030004	149.8297915742	240.1835570291	169.3056796829	90.7649547914	101.9854284844	174.85841063069998	172.3165252956	204.109082561	156.4420321047	110.1912781848	280.7124030704	200.8441817189	157.7595939753	215.8432338962	188.552387807	128.7733717454	117.07036341279999	75.3946353437	143.0728428791	154.8479303623	216.2351242499	142.951499609	254.0064078845	188.0463979877	195.8287256716	86.287233513
 piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]	K00276K00812K00813K11358K00817K00832K01582	77.7547418601	99.9773506016	64.3877897924	116.84926381300001	193.6966504303	156.984638482	58.862837140299995	192.61216223990002	143.4921693359	80.4697720077	157.6231272705	139.8322811297	583.484765205	188.3026213644	108.55905109080001	70.9890424336	113.3912438472	64.2017039927	120.1183771058	107.7988566611	154.7242223952	118.8223863328	98.2251926208	80.2718585505	142.4624290278	157.6687383776	125.70763911110001	178.9003865728	159.6197757501	117.71893269999998	107.4888426722	68.6134784435	121.40763214559999	145.23941002450002	100.8146763936	114.89893988099999	183.9087865303	146.9999562022	139.6499551483	205.6373298837
 serine and threonine metabolism [PATH:ko00260]	K00928K12524K12525K00133K00003K00872K02204K02203K01733K01620K00600K00830K00018K12972K00090K00865K11529K01834K15634K15633K15635K00058K00831K01079K22305K16066K00639K00060K00276K00281K00282K00283K00605K00382K02437K00613K08688K00998K17103K00108K17755K00130K00303K00304K01697K01752K01754K01753K01695K01696K06001K00836K13745	694.1758059333	853.9263140478	883.7174578609	1306.6973539877	1731.6431844009	1263.9549401877	860.0915584357	2006.1426583069	1319.6281801044	727.4412968167001	1366.3111814092	1485.8533797842001	4634.4531569508	2846.3038901951	1146.8827009404	1002.5693122953	1054.1840454454	827.4610520676	1194.2478452879	992.5661283426	2356.2522475675	1319.3000793688	850.2036895958	867.396494068	1523.0628510573	1159.3378965195	1151.7662344178	1673.7384703752	1133.5303524487001	859.8038083582001	1325.8634428255	503.423679387	1208.4827906688001	1223.4587175286	1323.4975641354001	925.3925219254	1733.9513693537	1421.9539044169	1096.1011085389	1456.7685333349
 tyrosine and tryptophan biosynthesis [PATH:ko00400]	K01626K03856K13830K01735K13829K11646K03785K03786K00014K05358K05887K00891K00800K01736K01657K01658K00766K13497K01817K01609K13498K01695K01696K06001K04092K14187K04093K14170K04516K06209K04517K01713K04518K00812K00813K11358K00817K00832K00500	591.8694109958	682.8770719584	759.0368258321	989.1097681054	1223.5456841912	985.5104813583	797.4116696348	1490.9262928704	1133.8907654872	758.2933465492	1126.3597482457	1115.835210584	2905.8735387428	2015.5739439192	1088.1766153993	923.8826643794999	847.0399030577	797.6562991723999	1092.0876719264	814.5341129515	1824.80303026	1137.8770720736	827.4022431441999	690.5057344062	1304.5981837058	909.7969384206	1037.0698006661	1284.6264472242	856.4669590368	906.9071072616	1128.0180328669	506.6935615115	959.2242535259	1079.8572162065	1106.1207915237	879.921401221	1422.5467200703001	1069.0097590496	798.8533145337	1532.2529455636
ABC transporters [PATH:ko02010]	K02048K23163K02046K02047K02045K05772K05773K06857K15495K15576K15577K15578K15551K15552K10831K15553K15554K15555K15598K15599K15600K02020K02018K02017K05776K02012K02011K02010K02064K02063K02062K11069K11070K11071K11072K11073K11074K11075K11076K11081K11082K11083K11084K02002K02001K02000K05845K05846K05847K10108K10109K10110K10111K10112K15770K15771K15772K10117K10118K10119K10188K10189K10190K10228K10229K10232K10192K10193K10194K17318K17319K17320K10200K10201K10202K10240K10241K10242K17234K17236K10546K10547K10548K07323K02067K02066K07122K02065K07335K17315K17316K10439K10440K10441K06726K10537K10538K10539K10540K10541K10542K10543K10544K10545K10549K10550K10551K10553K10559K10560K10561K10562K17202K17203K17204K17206K17213K17214K17215K17323K05813K05814K05815K05816K02040K02037K02038K02036K02044K02042K02041K10013K10015K10016K10017K10014K10036K10037K10038K10039K10040K10041K09996K09997K09998K09999K10000K10001K10002K10003K10004K10018K10020K10021K09969K09970K09971K09972K10005K10006K10007K10008K02424K10009K10010K16957K16958K16959K16960K16961K16962K16963K10022K10025K23059K17077K23060K17073K17074K17076K23057K23061K01999K01997K01998K01995K01996K02073K02072K02071K11959K11960K11961K11962K11963K15580K15581K15582K15583K10823K12368K12369K12370K12371K12372K16202K19226K19227K19228K19229K19230K15584K15585K15586K15587K10824K13889K13890K13891K13892K13893K13894K13895K13896K23181K23182K23183K23184K23185K23186K23187K23188K23227K23228K10829K06858K06073K06074K11601K11602K19975K19976K19973K09815K09816K09817K11704K11705K11604K11605K11606K11607K19971K19972K10830K11707K11708K11709K11710K02009K02007K02008K02006K03523K16783K16784K16785K16786K16787K10555K10556K10557K10558K11051K11050K10107K09688K09689K22921K09690K09691K09692K09693K09694K09696K09697K19310K19309K11631K20460K20461K20459K20491K20492K20490K09808K09810K02196K02195K02194K02193K07091K11720K06861K16905K16906K16907K09811K09812K14698K14699K11085K18889K18890K13409K18104K18891K18892K18217K18893K18887K18888K12541K16299K12292K20344K16012K16013K05685K18230K19350K06159K02471	1687.1916295269	1246.8407547401	2221.4388605494	2918.0552181466	4312.186021982	2798.6933563486	2025.6731056316	4724.5886718213	2729.6104133769	2208.2133166374	2121.5771459039997	2586.8415872117	16633.2043810627	5091.3308738238	2440.2563032929	2640.3739863582	1623.4594783588	1787.9465300891	2741.1736290229	1485.740372368	4435.5060678726	4670.9536930964005	1970.1970037898	1918.1389336601	3226.8895458921	1777.0219285092	2012.6952481162	3556.9340268105	3603.1686449192002	1825.7240322487	3085.2675565303	1445.20329692	2050.1549680206	2135.5492793018	2863.4161816897	1950.3035471265	4603.7856359707	2630.8564398222	1541.7707778172	3837.4669732897
AMPK signaling pathway [PATH:ko04152]	K03841K00850K01596K03234	45.307565470200004	69.5298658948	38.9230813525	47.505883839	85.6766525553	78.1277000947	75.7493339895	39.302931263	67.39759188170001	36.3386183262	111.96839122290001	54.9465614606	228.6392701177	13.2864772486	49.353863248900005	36.205923711000004	55.140056987899996	77.6079288459	53.9307435346	66.6809531037	66.25675225619999	176.92879056619998	57.9835468233	59.614925906500005	89.8183410133	81.4399763307	107.3629298431	110.61867254469999	37.592072897799994	61.9883808277	13.092836611600001	26.2881118966	75.5682590803	100.9243324009	18.9914784239	47.195301506	44.17777951869999	131.8225736917	86.6643240299	56.6081801637
Acarbose and validamycin biosynthesis [PATH:ko00525]	K00973K01710	63.560012984500005	63.1785688881	86.2246989991	83.4213263206	204.711989886	101.4436925999	46.5166811862	132.1298256469	87.4979599457	31.151811293599998	128.66793817820002	200.0262504872	417.8309135229	60.503884090499994	91.4208764944	93.5797476669	106.9372185533	54.7049402679	105.9304094896	87.4220716955	252.43534328549998	92.195249031	44.3908981479	80.1687678637	133.657387446	96.5617448989	99.64423275249999	192.5776617287	121.3947206423	59.120378571399996	190.9102487533	36.920191693199996	106.457422071	109.6450832589	178.2073680104	60.3164753985	104.4928379546	133.5587505617	106.2258776479	176.0111667587
