"","Feature","P","FDR","FC","NPC association"
"UNGROUPED","UNGROUPED",2.07709866704287e-05,0.0965227750574823,1.12481682483865,"depleted"
"K03530","K03530",0.000208852082068957,0.485267812687221,0.937929421528631,"enriched"
"K01262","K01262",0.000386841528820872,0.599217528143531,0.947920456199132,"enriched"
"K02895","K02895",0.00053613845333779,0.622858848165178,0.944407636791612,"enriched"
"K01491","K01491",0.00122241814541371,0.841070181586629,0.958458783574545,"enriched"
"K02838","K02838",0.00125423619263904,0.841070181586629,0.94668840117852,"enriched"
"K03977","K03977",0.00126694453864997,0.841070181586629,0.958977606710957,"enriched"
"K07738","K07738",0.00166351912235583,0.94182857285217,0.946289676584667,"enriched"
"K01885","K01885",0.00182407083186347,0.94182857285217,0.954950999586685,"enriched"
"K00939","K00939",0.00214371674827983,0.992143520681656,0.955007706099931,"enriched"
"K02990","K02990",0.00241605250800161,0.992143520681656,0.953307858543403,"enriched"
"K02879","K02879",0.00335150968938475,0.992143520681656,0.954569568141084,"enriched"
"K05341","K05341",0.0041027549977941,0.992143520681656,1.05146766803846,"depleted"
"K01933","K01933",0.00416567942341254,0.992143520681656,0.961482147246993,"enriched"
"K03545","K03545",0.00442938075137943,0.992143520681656,0.953029567652609,"enriched"
"K01876","K01876",0.00457186959076337,0.992143520681656,0.962708620026721,"enriched"
"K01695","K01695",0.00468721245226759,0.992143520681656,0.950643475248069,"enriched"
"K02952","K02952",0.0048139689197074,0.992143520681656,0.961392041411575,"enriched"
"K02121","K02121",0.00508288370832752,0.992143520681656,1.0268637261647,"depleted"
"K00765","K00765",0.00522151542679625,0.992143520681656,0.966829548928405,"enriched"
"K03544","K03544",0.00526892232171151,0.992143520681656,0.964775878258697,"enriched"
"K02939","K02939",0.00535292587625385,0.992143520681656,0.947893886580233,"enriched"
"K20117","K20117",0.00564347507412577,0.992143520681656,1.03388283417117,"depleted"
"K20118","K20118",0.00564347507412577,0.992143520681656,1.03388283417117,"depleted"
"K03168","K03168",0.00565836753042981,0.992143520681656,0.95565710010394,"enriched"
"K20116","K20116",0.00595883331752918,0.992143520681656,1.03360488131377,"depleted"
"K01866","K01866",0.00613763239428846,0.992143520681656,0.962873988613761,"enriched"
"K02986","K02986",0.00666533010790933,0.992143520681656,0.966506244362248,"enriched"
"K02036","K02036",0.00668011380219575,0.992143520681656,0.951859423338064,"enriched"
"K01770","K01770",0.00679398548705187,0.992143520681656,0.961859950670332,"enriched"
"K03525","K03525",0.00679856689064665,0.992143520681656,0.949032111776014,"enriched"
"K02871","K02871",0.0071291351777253,0.992143520681656,0.960873600680717,"enriched"
"K03106","K03106",0.0071431701962074,0.992143520681656,0.951008743215332,"enriched"
"K02834","K02834",0.00759949946081427,0.992143520681656,0.95083185356727,"enriched"
"K03625","K03625",0.00760634561122149,0.992143520681656,0.950791064647184,"enriched"
"K02954","K02954",0.00798601070512586,0.992143520681656,0.943303645353455,"enriched"
"K01962","K01962",0.00816567584158902,0.992143520681656,0.954356446984626,"enriched"
"K01940","K01940",0.00816601824200858,0.992143520681656,0.968291200245029,"enriched"
"K06969","K06969",0.00900542117122499,0.992143520681656,1.0407098390034,"depleted"
"K01778","K01778",0.00942535278303812,0.992143520681656,0.957680353649384,"enriched"
"K02916","K02916",0.0100837739864648,0.992143520681656,0.940293953842439,"enriched"
"K00611","K00611",0.0101776983885626,0.992143520681656,0.950236683284486,"enriched"
"K00756","K00756",0.0103662425680726,0.992143520681656,1.04699828839995,"depleted"
"K00658","K00658",0.0111371898406061,0.992143520681656,1.01297721102743,"depleted"
"K09772","K09772",0.0115326413808521,0.992143520681656,0.952320274632228,"enriched"
"K19310","K19310",0.0123717832339062,0.992143520681656,1.05600010347398,"depleted"
"K21573","K21573",0.0124549366829403,0.992143520681656,1.02558734659248,"depleted"
"K01955","K01955",0.0124868341580322,0.992143520681656,0.97028116780677,"enriched"
"K00858","K00858",0.0128712050848996,0.992143520681656,0.963698286537854,"enriched"
"K00145","K00145",0.0129344510861392,0.992143520681656,0.966108754037009,"enriched"
"K03438","K03438",0.0132317951036267,0.992143520681656,0.946441305752794,"enriched"
"K09747","K09747",0.013276552327564,0.992143520681656,0.947370741472303,"enriched"
"K00215","K00215",0.0134031063773908,0.992143520681656,0.947810261044774,"enriched"
"K00604","K00604",0.013541859515538,0.992143520681656,0.955760712564045,"enriched"
"K00766","K00766",0.0136072856915896,0.992143520681656,0.957888541619432,"enriched"
"K01619","K01619",0.0136403083294141,0.992143520681656,1.04166797583091,"depleted"
"K01069","K01069",0.0142980643386961,0.992143520681656,0.961825904437593,"enriched"
"K02040","K02040",0.014457185717149,0.992143520681656,0.977950074602597,"enriched"
