"","Variable","Feature","N1","N2","Mean1","Mean2","Beta","SE","P","FDR","FC","FC_lower","FC_upper"
"UNGROUPED","Group","UNGROUPED",20,20,279437.3257,195423.23642,0.169690079297041,0.034941545119736,2.07709866704287e-05,0.0965227750574823,1.12481682483865,1.0726687674893,1.17950007288966
"K03530","Group","K03530",20,20,1.016266276335,1.500904228205,-0.0924487297603569,0.0225414456453591,0.000208852082068957,0.485267812687221,0.937929421528631,0.909641535791363,0.967096999373174
"K01262","Group","K01262",20,20,0.582359597835,0.897240540685,-0.0771620930020022,0.0198183137689382,0.000386841528820872,0.599217528143531,0.947920456199132,0.922738662765718,0.973789467743276
"K02895","Group","K02895",20,20,1.221503084595,1.69740933564,-0.0825183871657445,0.021818867066673,0.00053613845333779,0.622858848165178,0.944407636791612,0.916823947752583,0.972821212422137
"K01491","Group","K01491",20,20,0.874853598925,1.16455681924,-0.0612117016075209,0.0175143812344608,0.00122241814541371,0.841070181586629,0.958458783574545,0.935921938920612,0.981538311700073
"K02838","Group","K02838",20,20,0.65078391488,1.002870561275,-0.0790384485483981,0.022674094413718,0.00125423619263904,0.841070181586629,0.94668840117852,0.917970900549571,0.976304290680014
"K03977","Group","K03977",20,20,0.60860734,0.85981263415,-0.0604309679278438,0.0173538576034695,0.00126694453864997,0.841070181586629,0.958977606710957,0.936632803448192,0.981855479316387
"K07738","Group","K07738",20,20,0.460447220545,0.767807904845,-0.0796462083629419,0.0235271456895733,0.00166351912235583,0.94182857285217,0.946289676584667,0.916521472488891,0.977024738524681
"K01885","Group","K01885",20,20,0.843380530875,1.160379055965,-0.066501387358819,0.0198380273661498,0.00182407083186347,0.94182857285217,0.954950999586685,0.929557541647152,0.9810381506837
"K00939","Group","K00939",20,20,1.002452639245,1.345293615555,-0.0664157203700751,0.0201630996388135,0.00214371674827983,0.992143520681656,0.955007706099931,0.929202283289877,0.981529786475707
