# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR28210342	SRR28210343	SRR28210344	SRR28210345	SRR28210346	SRR28210347	SRR28210348	SRR28210349	SRR28210350	SRR28210351	SRR28210352	SRR28210353	SRR28210354	SRR28210355	SRR28210356	SRR28210357	SRR28210358	SRR28210359	SRR28210360	SRR28210361	SRR28210362	SRR28210363	SRR28210364	SRR28210365	SRR28210366	SRR28210367	SRR28210368	SRR28210369	SRR28210370	SRR28210371	SRR28210372	SRR28210373	SRR28210374	SRR28210375	SRR28210376	SRR28210377	SRR28210378	SRR28210379	SRR28210380	SRR28210381
UNGROUPED	32797753.9973988	44388377.4227846	35934922.96364755	33299295.941532657	17548337.5079625	36060221.714734405	20225746.369151294	21572508.41881676	18911899.676080372	20013730.994148012	18681195.77903771	19129928.679352835	20435134.12691275	18080456.891585097	19441323.944029093	18674660.035207767	29545755.034837585	19710448.414118614	19316084.422571585	20823696.861834098	19443587.800113596	20536774.144133203	19332980.331383273	19975157.744527385	19649899.6461554	18565988.906969294	18325269.664016407	33578336.55697969	18962307.18709806	20247314.79907409	21386537.820731003	19748451.353655424	22241999.392572988	18037505.830851022	20519287.212296356	20002860.28099975	31095283.388178695	34314277.401846185	35207913.089515656	33957912.52403815
K00001	0.3643847532	3.9005539932	0.4340471106	3.9270517728	0.1451796025	0.6332830348	0.3616258502	0.3097091233	4.8390341503	1.0386440500999998	2.1031539789	7.7919186248	0.4614322201	1.415237992	11.5330401119	6.4367137287	1.4484263900999998	5.7391695364	4.9987733127	4.6430272043	0.2832822786	0.1429189813	1.011563735	1.8335923555	2.7648751566	1.9106424383	0.2862396882	0.5775171534	1.017894658	0.1750359518	7.4806591015	0	4.9789089919	0	9.3701700434	4.4745603232	9.279548395599999	0.3737925352	2.7528031192999998	53.521214856600004
K00002	6.0692888464	5.89686266	2.7122255731	2.4787382522000003	3.609316467	2.4366618223	30.7348109275	7.3905218367000005	8.9098240062	8.0556585266	2.0765679653999998	5.198948789699999	0.8472099487	15.1066023988	17.5537130484	5.6583475149	2.3578202885	8.1655055188	5.8020707	4.9204736442	17.2526707979	9.826360001800001	3.514446822	4.8861419614	0.9385647859	5.2981946476	4.6044104785	2.7009112105	20.7845935643	9.6234300936	15.3531814788	3.9622578056	2.5211556191	8.3978135447	6.1810703763	4.6463976931	25.6852371845	2.5484508452	1.881809943	8.019256701
K00003	16.828150356800002	8.8460700771	40.8229985233	33.380543110299996	36.4791482378	12.7681054342	31.0046655098	94.6841366516	47.4689399641	11.5089420461	14.4812151418	44.4204808708	53.2073605177	200.57550781	36.0705513633	37.9309396763	18.0185427271	16.8236120592	33.9441114346	5.3352512448	145.8488800108	10.2471794371	23.5541327056	15.7504023587	37.9368972154	11.602074930299999	9.9964418689	37.1167791202	31.0985338695	9.7568173877	50.4975447869	9.9583624545	29.498410373000002	19.9523501254	58.4653535273	16.1019433679	56.3135773605	18.2132532397	19.4703541725	67.58733910849999
K00004	0	0	0	0	0	0.0591624692	0	0	0	0	0	0.1816075493	0.766798079	0	1.1425135735	0	0	0	0	0	0	0	0	0	0.3573214765	0.4311694457	0	0	0.7833991598	0	0	0	0	0	0	0	0	0.0606279581	0.2079984528	0.9032084086
K00005	17.300218456299998	12.2136999366	7.8444959891	17.6273497346	30.2630883806	22.1268811084	3.5573841026	47.9773875036	17.711286076	5.0303699260000005	12.4825956681	29.0156566313	99.5387535865	10.6409188315	10.808370952899999	4.5572030961	12.6008022542	15.0864117236	19.9940485222	13.2861593641	7.1871258626	37.5317725788	8.246482481300001	14.0230950724	16.1500646947	13.8444620929	8.1837831889	19.6364236917	45.8228722407	1.4535781892	7.7648079577999995	15.2928182791	21.9697935188	12.7087022744	11.5782439968	3.7532049242000003	20.1424713131	23.646491257100003	17.8986215686	51.4286202452
K00007	0	0	0	0	0	0	0	0	0	0	0	0	0.0962114029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00008	10.6791599808	2.5043779944	1.0204186532	1.5845553177999998	2.2428859049	0.6012937939999999	0.7379038710000001	1.6629345170999998	1.6414459832	6.7778650597	0.7653654131000001	5.1980217177	1.4968195692	4.5088517504	15.0253356753	14.243869545299999	0.6863099092	1.3352053160000001	0.5444754204	1.1418549036	2.0208462449	0	2.0029393797	0.8452739889	10.6198472052	0.7670599115	0.5771676661	2.0410201224	1.0721868326	1.4469739634	2.8481895827	6.7887741748999995	0.5940988512	3.1472508063	4.3073982784	3.6901529105999997	9.0881631014	1.2964729939	1.3577716874	1.5657125615
K00009	4.0056480719000005	3.0637444708	4.3958422688	8.5360351486	19.5339225817	13.8364166403	6.1029556296	11.7670131621	3.1905460621999997	5.8724856697	2.8911159705	4.1312398027	89.8329511696	11.3225072159	17.1215049688	4.3322629002	4.742133165399999	2.3077171543	4.1570977527	3.355674725	7.2833885899	23.0562003241	3.6793111932	3.8835737272	4.4573530777000006	4.5727658046	3.0273993513	12.2748203793	17.499758901899998	4.4264645263	4.275005198	2.8469808054000003	5.3916831243	0.8562601549000001	8.5796361619	3.1222312017	19.9942889441	7.8783061527	2.94523434	8.4647504968
K00010	3.5742623747	8.4510385937	2.6970405667	7.5414352823	3.2929731337000003	7.0362932608	6.4108107143	0.6139438426	5.2138633036	4.9922378935	3.2386201239999997	17.465838233299998	0.0522160467	12.3225749456	18.2221350108	8.7274916943	3.7036616771	6.8258378191	4.7808228146000005	5.5898876086	6.8767960451	11.891679866099999	2.7210714535	4.128967414	1.4470612077	6.1882247975	2.2720252902	4.8420350905000005	7.6369593163	0	12.0458614244	2.1572471835	5.6352572045	0.326598645	20.3113546499	7.3138038383	16.719051406	2.6441346985000003	4.9195011627	8.509885750799999
