# Feature	Level means (|ed)	P-value	Q-value
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	HC:3.152e+04|ID:2.06e+04	6.244e-05	0.005356
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	HC:1.498e+04|ID:8237	7.838e-05	0.005356
GLUDEG-I-PWY: GABA shunt	HC:3775|ID:1756	7.838e-05	0.005356
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	HC:6150|ID:3036	7.838e-05	0.005356
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	HC:1.03e+04|ID:5057	6.998e-05	0.005356
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	HC:9401|ID:4599	6.998e-05	0.005356
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	HC:1.038e+04|ID:5094	6.998e-05	0.005356
PWY-6700: queuosine biosynthesis I (de novo)	HC:3.088e+04|ID:1.983e+04	6.998e-05	0.005356
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	HC:3.393e+04|ID:2.1e+04	2.445e-05	0.005356
UNMAPPED	HC:1.108e+07|ID:7.616e+06	0.0004373	0.014
UNINTEGRATED	HC:4.258e+07|ID:2.937e+07	0.0005918	0.014
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	HC:4.042e+04|ID:2.707e+04	0.0005918	0.014
ARO-PWY: chorismate biosynthesis I	HC:4.1e+04|ID:2.769e+04	0.000484	0.014
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	HC:2.28e+04|ID:1.566e+04	0.0003948	0.014
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	HC:4.032e+04|ID:2.664e+04	0.0005354	0.014
HISTSYN-PWY: L-histidine biosynthesis	HC:3.559e+04|ID:2.48e+04	0.0003948	0.014
PWY-4321: L-glutamate degradation IV	HC:2770|ID:1101	0.0003211	0.014
PWY-6123: inosine-5'-phosphate biosynthesis I	HC:2.487e+04|ID:1.583e+04	0.0005918	0.014
PWY-6124: inosine-5'-phosphate biosynthesis II	HC:2.338e+04|ID:1.469e+04	0.0002604	0.014
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	HC:4.138e+04|ID:2.77e+04	0.0003561	0.014
PWY-6317: D-galactose degradation I (Leloir pathway)	HC:3.596e+04|ID:2.435e+04	0.000484	0.014
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	HC:1.571e+04|ID:9823	0.0002604	0.014
PWY-6527: stachyose degradation	HC:4.585e+04|ID:3.123e+04	0.0005354	0.014
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	HC:4.037e+04|ID:2.703e+04	0.0005918	0.014
RHAMCAT-PWY: L-rhamnose degradation I	HC:1.389e+04|ID:8094	0.0003561	0.014
VALSYN-PWY: L-valine biosynthesis	HC:5.234e+04|ID:3.616e+04	0.0005354	0.014
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	HC:1558|ID:760.3	0.0006537	0.01489
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	HC:3.979e+04|ID:2.683e+04	0.0007215	0.0153
PWY-6609: adenine and adenosine salvage III	HC:3.597e+04|ID:2.471e+04	0.0007215	0.0153
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	HC:1.422e+04|ID:8003	0.0007959	0.01632
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	HC:4.222e+04|ID:2.884e+04	0.0008774	0.01691
GLUCONEO-PWY: gluconeogenesis I	HC:3.226e+04|ID:2.117e+04	0.001064	0.01691
GLUTORN-PWY: L-ornithine biosynthesis I	HC:3.347e+04|ID:2.295e+04	0.001064	0.01691
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	HC:1.12e+04|ID:6391	0.0009665	0.01691
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	HC:1.424e+04|ID:9156	0.001064	0.01691
PWY-3502: superpathway of NAD biosynthesis in eukaryotes	HC:108.2|ID:10.12	0.001072	0.01691
