# Pathway HUMAnN v4.0.0.alpha.1	SRR28210342	SRR28210343	SRR28210344	SRR28210345	SRR28210346	SRR28210347	SRR28210348	SRR28210349	SRR28210350	SRR28210351	SRR28210352	SRR28210353	SRR28210354	SRR28210355	SRR28210356	SRR28210357	SRR28210358	SRR28210359	SRR28210360	SRR28210361	SRR28210362	SRR28210363	SRR28210364	SRR28210365	SRR28210366	SRR28210367	SRR28210368	SRR28210369	SRR28210370	SRR28210371	SRR28210372	SRR28210373	SRR28210374	SRR28210375	SRR28210376	SRR28210377	SRR28210378	SRR28210379	SRR28210380	SRR28210381
UNMAPPED	12818064.4897980820	17251044.9082696959	13221927.0685492307	13854571.0540362243	7411227.1378259743	15098329.7428934202	7135695.9581444273	8699912.1300615054	7346445.4393537259	6908174.8109118715	7456639.8820554260	7584509.8199617146	10256915.6783504188	6655253.7487595864	7509474.7980343187	6967048.9455537964	11502465.3197185788	7195094.7966652513	7210372.8953132005	8287022.2952840216	7211563.6262744414	8101700.4541905373	7481283.6213687221	7596238.5641872510	8405011.7034944892	7218052.8550810227	7098002.5940658925	14220833.6254863460	7624872.6440723408	7557209.1310998034	8001324.2981006326	7235751.7355593219	8688360.2235987373	6981511.8908605659	7904832.3433608320	7483254.6983346548	13207339.2145090383	14360105.4598494023	14040933.1104172561	13204939.3463798128
UNINTEGRATED	51546260.9276469201	50890747.6356295347	49689591.5190418735	52615039.2576974109	28819520.0625757314	59996612.2560710981	27164118.1327736117	25297048.3089431599	27424485.3337223642	28358999.7885697745	28449244.5840186253	29414652.1421258189	39642611.8114996180	26401406.8565613143	30936974.0381807014	28775194.0122250766	46189755.4258575067	26749822.0610384792	25993639.6213051118	30594883.5585272051	29101986.0258838981	30047225.8884807639	30354590.4888668358	29843871.7836416848	36131817.6332468763	28229332.9838327505	28567574.7048026994	55786686.0371832252	30342639.6520960778	28979625.1704296470	30763461.3824116662	27840092.8291067854	28865797.8313064724	27660896.9168982767	31588674.0687418804	29157896.2049424462	54181838.6417000145	55685736.9560894072	57145326.1365125179	53852862.8919978142
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	18.2578436091	0	7.7008390825	13.2131095035	60.6576359284	61.3550886457	0	0	0	0	0	0	0	0	8.3070482704	0	0	9.1849827385	0	0	0	0	11.2473782369	0	0	0	0	0	15.7509467719	0	0	0	9.0567984161	0	0	0	0	31.9801375512	9.1054223731	0
1CMET2-PWY: folate transformations III (E. coli)	36704.4781082772	41395.5591953912	36772.1279014263	43768.9129866082	19371.1200571934	41036.0251635052	23559.3529560443	21256.6768484007	22695.6676532447	23584.1121804286	21903.9154060922	19614.4350483676	24265.8221002428	25280.7541338007	22193.3922559442	24386.2988685519	34373.3244034512	20798.3924203027	19967.4963240458	21148.7168857633	26101.2564467037	22669.1451123953	23548.6352380796	20839.1093826196	23723.5447829219	21188.3354795424	22218.4240548255	38596.3622696727	23844.6558856163	22977.2738313315	23803.8614381506	21146.2833475134	19675.1302821132	20870.9714265936	23301.0688668173	21261.8821867995	38594.6751019552	42508.3387328913	44358.0088277829	45575.3284288669
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	121.6850475309	84.6648998708	93.7566452579	1077.8203858504	1158.0586814639	1827.9130387315	0	348.4327602270	33.8823331319	10.2098053068	78.3476500762	75.6983689099	100.7249674006	0	29.7691841500	87.1901022783	260.2240149278	77.0390054643	0	16.1917759463	96.1934267412	1098.7975592436	134.3435428429	184.8721254078	63.3443278806	111.5915081414	191.5658746852	1292.9593943210	686.5089436364	0	0	0	213.6179000812	23.3612945855	117.8516150165	0	1897.9530087293	982.4545176803	235.7623862202	124.2222623914
4-HYDROXYMANDELATE-DEGRADATION-PWY: 4-hydroxymandelate degradation	18.9504445102	0	18.3160551140	0	24.5653582687	81.6842993671	0	0	0	0	0	23.0086772251	22.4566794756	0	0	0	0	0	0	0	0	0	0	16.4325468086	0	0	0	0	0	0	0	0	0	0	0	0	0	76.9985023418	15.1245197661	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	46.3743038561	28.1754245278	97.3336809251	10.2966499961	0	355.8290248662	0	231.4034540256	0	0	0	0	877.6400135060	11.4077691869	16.1526109744	40.2784092469	0	0	0	8.2048221978	24.5497424560	781.7612437612	9.4712695442	27.8588896927	49.9957877980	12.9225620929	0	1002.5123317370	47.3683394107	0	0	0	140.5748117695	30.3846003129	23.2485863164	0	59.4638982060	50.1309643759	0	15.7773489633
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	1387.4195952286	122.6353498978	258.8358184058	1198.9398270497	882.4403658928	3960.5871536100	0	163.2523568565	162.4668573730	175.5032613324	803.8090113814	555.1881335809	2616.6345939938	138.5415412630	255.5607098593	172.0775050193	507.2561912639	0	0	0	0	2664.8120297030	399.0805782051	747.5867883948	1399.1476049046	201.5157260284	360.1782699049	1395.6244216994	828.2252872911	0	0	0	253.4329855638	0	344.6621402382	0	592.7743015677	2929.4645595416	113.2488051867	165.2486331863
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	114.2568944453	66.0877254447	193.8099445175	167.8024193610	183.0723065107	2312.0537430282	0	0	257.3101456807	93.1776126498	547.0987085409	60.1926369884	3888.5051279325	97.9592371599	284.6954567911	135.4320936021	56.7214500759	162.7721409626	207.2831315911	152.5145051942	127.7508089637	480.9148312110	145.6247903241	341.6840452150	219.6645073031	0	336.9513823542	0	2546.0602903481	0	0	320.0350930463	442.0717592108	1242.0927628515	221.7152085686	165.0510436127	37.8475090525	1746.3244107280	383.2214468622	885.1860010700
ANAEROFRUCAT-PWY: homolactic fermentation	35994.7735264119	41704.1475772290	34637.0006752528	43064.6618777747	19190.6048138474	39950.4327507628	22824.4742171292	23100.0125902272	23042.7724559878	11811.4564046991	21050.6996713543	23496.5332507384	26101.0800689057	22920.7819846498	21578.5805687924	21097.2047049828	31750.3975163966	18121.3638898190	21039.3117063120	20529.7454440144	26561.3472612661	16436.5776228927	26444.1195274249	22348.7800705070	24496.9396016964	19961.6737182953	20030.8873733537	41408.4059896245	24763.6559293918	16823.3299047828	25483.5485715128	16257.1589940412	20934.8750485747	20383.2356392802	27080.9736087064	18220.5866298718	41553.8180395019	42558.7967824098	42133.4953646818	49428.3696733688
