"Feature","HC_abundance","ID_abundance","P-value","Q-value","log2FC","abs_log2FC","Pathway","Pathway_ID","Superclass1","Superclass2"
"PWY-5651: L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde",40.55,3.718,0.00134,0.01704,-3.44710323872006,3.44710323872006,"L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde","PWY-5651","Degradation/Utilization/Assimilation","Amino Acid Degradation"
"NADSYN-PWY: NAD de novo biosynthesis II (from tryptophan)",70.7,6.494,0.00134,0.01704,-3.44453092509628,3.44453092509628,"NAD de novo biosynthesis II (from tryptophan)","NADSYN-PWY","Biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis"
"PWY-3502: superpathway of NAD biosynthesis in eukaryotes",108.2,10.12,0.001072,0.01691,-3.41841930389064,3.41841930389064,"superpathway of NAD biosynthesis in eukaryotes","PWY-3502","Biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis"
"PWY-6215: 4-chlorobenzoate degradation",117,25.88,0.008995,0.04629,-2.17659900732221,2.17659900732221,"4-chlorobenzoate degradation","PWY-6215","Degradation/Utilization/Assimilation","Aromatic Compound Degradation&&Chlorinated Compound Degradation"
"PWY-7031: protein N-glycosylation (bacterial)",299.6,85.68,0.002608,0.02083,-1.80600723858383,1.80600723858383,"protein N-glycosylation (bacterial)","PWY-7031","Biosynthesis&&Macromolecule Modification&&Glycan Pathways","Carbohydrate Biosynthesis&&Protein Modification"
"PWY-7527: L-methionine salvage cycle III",171.4,53.8,0.003504,0.02449,-1.67168903153748,1.67168903153748,"L-methionine salvage cycle III","PWY-7527","Biosynthesis","Amino Acid Biosynthesis"
"PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)",1188,420.7,0.001701,0.01774,-1.49767111291712,1.49767111291712,"superpathway of L-alanine fermentation (Stickland reaction)","PROPFERM-PWY","Generation of Precursor Metabolites and Energy","Fermentation"
"PWY-8188: L-alanine degradation VI (reductive Stickland reaction)",1188,420.7,0.001701,0.01774,-1.49767111291712,1.49767111291712,"L-alanine degradation VI (reductive Stickland reaction)","PWY-8188","Generation of Precursor Metabolites and Energy&&Degradation/Utilization/Assimilation","Fermentation&&Amino Acid Degradation"
"PWY-8189: L-alanine degradation V (oxidative Stickland reaction)",1188,420.7,0.001701,0.01774,-1.49767111291712,1.49767111291712,"L-alanine degradation V (oxidative Stickland reaction)","PWY-8189","Generation of Precursor Metabolites and Energy&&Degradation/Utilization/Assimilation","Fermentation&&Amino Acid Degradation"
"PWY-6383: mono-trans, poly-cis decaprenyl phosphate biosynthesis",816.5,311.8,0.001866,0.01877,-1.38883195774841,1.38883195774841,"mono-trans, poly-cis decaprenyl phosphate biosynthesis","PWY-6383","Biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis&&Polyprenyl Biosynthesis"
"PWY-4321: L-glutamate degradation IV",2770,1101,0.0003211,0.014,-1.33107150737139,1.33107150737139,"L-glutamate degradation IV","PWY-4321","Degradation/Utilization/Assimilation","Amino Acid Degradation"
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)",178.1,72.34,0.01238,0.0496,-1.29982201332136,1.29982201332136,"protocatechuate degradation II (ortho-cleavage pathway)","PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY","Degradation/Utilization/Assimilation","Aromatic Compound Degradation"
"PWY-5494: pyruvate fermentation to propanoate II (acrylate pathway)",633.3,261.4,0.003483,0.02449,-1.27662993826964,1.27662993826964,"pyruvate fermentation to propanoate II (acrylate pathway)","PWY-5494","Generation of Precursor Metabolites and Energy","Fermentation"
"PWY-6562: norspermidine biosynthesis",596.7,250.1,0.003478,0.02449,-1.25450071937058,1.25450071937058,"norspermidine biosynthesis","PWY-6562","Biosynthesis","Amide, Amidine, Amine, and Polyamine Biosynthesis"
"PWY-6565: superpathway of polyamine biosynthesis III",561.7,242.5,0.002234,0.01886,-1.21181505561338,1.21181505561338,"superpathway of polyamine biosynthesis III","PWY-6565","Biosynthesis","Amide, Amidine, Amine, and Polyamine Biosynthesis"
"PWY-4702: phytate degradation I",117.8,51.26,0.006801,0.03717,-1.20043415541035,1.20043415541035,"phytate degradation I","PWY-4702","Degradation/Utilization/Assimilation","Cyclitol Degradation"
"GLUDEG-I-PWY: GABA shunt",3775,1756,7.838e-05,0.005356,-1.10418379956401,1.10418379956401,"GABA shunt","GLUDEG-I-PWY","Degradation/Utilization/Assimilation","Amide, Amidine, Amine, and Polyamine Degradation&&Amino Acid Degradation"
"P162-PWY: L-glutamate degradation V (via hydroxyglutarate)",1558,760.3,0.0006537,0.01489,-1.03505453721395,1.03505453721395,"L-glutamate degradation V (via hydroxyglutarate)","P162-PWY","Degradation/Utilization/Assimilation&&Generation of Precursor Metabolites and Energy","Amino Acid Degradation&&Fermentation"
"METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis",9401,4599,6.998e-05,0.005356,-1.03149402910495,1.03149402910495,"superpathway of L-homoserine and L-methionine biosynthesis","METSYN-PWY","Biosynthesis","Amino Acid Biosynthesis"
"PWY-8190: L-glutamate degradation XI (reductive Stickland reaction)",1364,668.5,0.0009665,0.01691,-1.02884417892972,1.02884417892972,"L-glutamate degradation XI (reductive Stickland reaction)","PWY-8190","Generation of Precursor Metabolites and Energy&&Degradation/Utilization/Assimilation","Fermentation&&Amino Acid Degradation"
