"","Feature","P","FDR","FC","NPC association"
"UNGROUPED","UNGROUPED",2.83082940759063e-05,0.955178458709232,1.11803191255804,"depleted"
"ENOG4108TMY","ENOG4108TMY",0.000266273561896177,0.999996497980396,1.07162223586701,"depleted"
"ENOG410XTC6","ENOG410XTC6",0.000266273561896177,0.999996497980396,1.07162223586701,"depleted"
"ENOG4105VEM","ENOG4105VEM",0.000326319363103229,0.999996497980396,1.06156141887839,"depleted"
"COG4443","COG4443",0.000331349531220979,0.999996497980396,1.06145489006405,"depleted"
"ENOG4105CDW","ENOG4105CDW",0.000627407106872836,0.999996497980396,1.04275314537392,"depleted"
"COG3853","COG3853",0.000738029528045878,0.999996497980396,1.04196204551994,"depleted"
"ENOG4108FTT","ENOG4108FTT",0.000960261658124705,0.999996497980396,1.03229244266312,"depleted"
"ENOG4108Z5K","ENOG4108Z5K",0.00105145710950092,0.999996497980396,1.03717783926371,"depleted"
"COG0632","COG0632",0.00117079963037458,0.999996497980396,1.06437789604854,"depleted"
"ENOG4105KA4","ENOG4105KA4",0.00117079963037458,0.999996497980396,1.06437789604854,"depleted"
"COG4492","COG4492",0.001174477392603,0.999996497980396,1.06428366482431,"depleted"
"ENOG41090I5","ENOG41090I5",0.001174477392603,0.999996497980396,1.06428366482431,"depleted"
"COG4226","COG4226",0.00118191114791662,0.999996497980396,1.02551993851928,"depleted"
"COG0226","COG0226",0.00118625061319821,0.999996497980396,0.9654354348399,"enriched"
"ENOG410830J","ENOG410830J",0.00119361643692573,0.999996497980396,1.072966496302,"depleted"
"ENOG411225I","ENOG411225I",0.00119361643692573,0.999996497980396,1.072966496302,"depleted"
"ENOG4106BWI","ENOG4106BWI",0.00141969360466323,0.999996497980396,1.03917433297047,"depleted"
"ENOG4105C4S","ENOG4105C4S",0.00147671518582238,0.999996497980396,1.04652566982873,"depleted"
"COG0481","COG0481",0.00155211127457199,0.999996497980396,1.04682690982132,"depleted"
"COG4286","COG4286",0.00168163118843396,0.999996497980396,1.06994177006575,"depleted"
"ENOG4108KBP","ENOG4108KBP",0.00168163118843396,0.999996497980396,1.06994177006575,"depleted"
"ENOG4111H00","ENOG4111H00",0.0018423118676211,0.999996497980396,1.03891920250777,"depleted"
"ENOG410883S","ENOG410883S",0.0020337772159323,0.999996497980396,1.05524533625901,"depleted"
"ENOG410XT0J","ENOG410XT0J",0.0020337772159323,0.999996497980396,1.05524533625901,"depleted"
"ENOG4105XWS","ENOG4105XWS",0.00204105839918172,0.999996497980396,1.04223845198559,"depleted"
"ENOG41124UU","ENOG41124UU",0.00204105839918172,0.999996497980396,1.04223845198559,"depleted"
"COG0818","COG0818",0.00222422724247651,0.999996497980396,0.943101030973271,"enriched"
"ENOG4105ZB5","ENOG4105ZB5",0.00224405869005075,0.999996497980396,1.0220971442352,"depleted"
"COG1683","COG1683",0.00226849322289133,0.999996497980396,1.05206379594795,"depleted"
"ENOG4105I7J","ENOG4105I7J",0.00228300551200657,0.999996497980396,1.0793958390434,"depleted"
"ENOG4111NKX","ENOG4111NKX",0.00228300551200657,0.999996497980396,1.0793958390434,"depleted"
"COG0698","COG0698",0.00261243428701104,0.999996497980396,1.04963267426874,"depleted"
"ENOG4107QP4","ENOG4107QP4",0.00281825099718993,0.999996497980396,1.05936433188734,"depleted"
"ENOG4105EWC","ENOG4105EWC",0.00287616726340273,0.999996497980396,1.05015815379526,"depleted"
"ENOG4105UDX","ENOG4105UDX",0.00299730701558577,0.999996497980396,1.02648125448081,"depleted"
"ENOG4111Z0B","ENOG4111Z0B",0.00299730701558577,0.999996497980396,1.02648125448081,"depleted"
"COG1493","COG1493",0.00308500029535361,0.999996497980396,1.03985284638154,"depleted"
"ENOG4105D1C","ENOG4105D1C",0.00309531617270577,0.999996497980396,1.03983567222401,"depleted"
"ENOG4108X86","ENOG4108X86",0.0032699411700482,0.999996497980396,1.04845940899616,"depleted"
