Biomarker_Names	Average_Abundance(log10)	Enriched_Groups	LDA	KW_Pvalue
Aalivirus	0.0			-
Aarhusvirus	0.0	ID	0.0022481874325539952	0.3173105078628991
Abaiavirus	0.0			-
Abakapovirus	0.0			-
Abbeymikolonvirus	0.0	HC	0.0026192841632616507	0.3173105078628991
Aberdnavirus	0.0			-
Abidjanvirus	0.0	ID	0.0016854131409537116	0.9714372531924288
Abiotrophia	1.4395307261652228	ID	0.792635934093531	0.8710691939955872
Abouovirus	0.0	ID	0.0019547594537149553	0.3173105078628991
Abyssalbus	0.2559848801595946	HC	0.09503028511582282	0.30399527781793867
Abyssibius	0.2761251214408798	HC	0.1373046591548153	0.023073981745790766
Abyssicoccus	0.3241140921905128	HC	0.09899466338696457	0.2559131501098172
Acadevirus	0.0	ID	0.0013466211550441037	0.3173105078628991
Acadianvirus	0.0			-
Acajnonavirus	0.0			-
Acanvirus	0.0	ID	0.0030583472351262565	0.3173105078628991
Acaryochloris	0.7269061631162478	HC	0.23944393344333012	0.12310881495843536
Aceticella	0.9222081045461386	HC	0.41978892707470555	0.05829058013948914
Acetilactobacillus	0.0	HC	0.03474894878765958	0.665159038276388
Acetivibrio	1.7805248300767345	HC	0.9217238545167666	0.14409646897983003
Acetoanaerobium	0.9004297577957661	HC	0.34222851676359983	0.03486637192888855
Acetobacter	1.2593473059418197	HC	0.5561164830201641	0.09893159920140912
Acetobacterium	1.7599498170019021	HC	0.7859578220473986	0.07870399677767277
Acetobacteroides	0.828368036802519	HC	0.29498868724752747	0.13681554418853387
Acetohalobium	0.38178527230902376	HC	0.06699534196575682	0.30399527781793867
Acetomicrobium	0.4054981725247344	HC	0.27409961060412724	0.14409646897983003
Achlievirus	0.0			-
Acholeplasma	0.7599830536952339	HC	0.27690067205230634	0.3867079925517324
Achromobacter	1.9428800464050526	HC	1.2322417353038873	0.024758030413600553
Acidaminococcus	1.8572947743547155	HC	0.9977394899345791	0.2339662537301938
Acidianus	0.31176639396537903	ID	0.08055979383207472	0.6456228047372248
Acidibrevibacterium	0.49855334002487506	HC	0.14295158996021373	0.4170770595205654
Acididesulfobacillus	0.9212134934540356	HC	0.25868206532477644	0.5885063552717082
Acidiferrobacter	0.24723747660307002	HC	0.1203507144752914	0.05146207608338047
Acidihalobacter	0.9033672442174103	HC	0.5061248431403789	0.004139780278749303
Acidilobus	0.16786482743044262	HC	0.10580192682759382	0.03726427324163418
Acidilutibacter	1.012238884474476	HC	0.30221054044642853	0.30399527781793867
Acidimicrobium	0.0	HC	0.04500560998186693	0.1437201088778348
Acidiphilium	0.40408310538148623	HC	0.11810808415760247	0.1762139955513056
Acidiplasma	0.0	ID	0.01981861613895895	0.8494267149827958
Acidipropionibacterium	1.145737878686237	HC	0.6391488470745392	0.004507686962720941
Acidisarcina	0.21725499024345887	HC	0.09301482792026285	0.7049097275727675
Acidisoma	0.4790187066579791	HC	0.16422419359428717	0.20360267380135766
Acidithiobacillus	1.0810403276960745	HC	0.5265798788922137	0.01606401314826925
Acidobacterium	0.5328080703796951	HC	0.22734628886804806	0.024758030413600553
Acidocella	0.6176946877749407	HC	0.16791258773205694	0.11667003836704029
Acidothermus	0.0	HC	0.044828406343242366	0.8710691939955872
Acidovorax	2.0027400523236016	HC	1.43878795042822	0.012824421041516413
Aciduricibacillus	0.548408606522747	HC	0.2113828573976199	0.07870399677767277
Acinetobacter	2.145207191844942	HC	1.1017508862431242	0.34376459713413154
Acionnavirus	0.0	ID	0.001965858041852013	0.07562632558501513
Actibacterium	0.4335942166351532	HC	0.29491969916557326	0.20360267380135766
Actimicrobium	0.260507945700548	HC	0.21568585260353892	0.0004372575927067317
Actinacidiphila	1.1979395783930225	HC	0.6791092284382401	0.018604725010016927
Actinarchaeum	0.0	HC	0.026760283626752732	0.11660143720276049
Actinidia	1.697739909283475	HC	0.7342248749104148	0.1516708199852679
Actinoallomurus	0.6632699172426418	HC	0.27724407253524247	0.04531629734465174
Actinoalloteichus	1.1168988259583108	HC	0.6001240425846853	0.010999699372391614
Actinobacillus	1.2044475059405522	ID	0.27534543806554534	0.5885063552717082
Actinobaculum	0.47891783563717916	HC	0.15065270300679157	0.60728576581257
Actinocatenispora	0.8193663951383955	HC	0.42244215530256585	0.009409435392827814
Actinokineospora	0.45649782378238724	HC	0.22825802652768057	0.05829058013948914
Actinomadura	1.555038032603153	HC	0.8768766762089218	0.03260148641743053
Actinomarinicola	0.7096404301808943	HC	0.40308076141693266	0.0031936177003100766
Actinomyces	2.9610282973793356	ID	2.243037660969532	0.481867368283708
Actinomycetospora	0.31409743188857076	HC	0.16964221664047327	0.054787666178226474
Actinoplanes	1.72089608615432	HC	1.0848555017513086	0.009409435392827814
Actinopolymorpha	0.4584081990503522	HC	0.2530078071123243	0.04247338309822622
Actinopolyspora	0.0	HC	0.04210361328019992	0.9568553503695676
Actinosynnema	0.9201834285555128	HC	0.4863777495906011	0.008693986098127384
