Sample	raw pair1	raw pair2	trimmed single	decontaminated tair10 pair1	decontaminated tair10 pair2	decontaminated tair10 orphan1	decontaminated tair10 orphan2	final pair1	final pair2	final orphan1	final orphan2
SRR28210342	62164652.0	62164652.0	62164652.0	62163072.0	62163072.0	0.0	0.0	62163072.0	62163072.0	0.0	0.0
SRR28210343	71436086.0	71436086.0	71436086.0	71422424.0	71422424.0	0.0	0.0	71422424.0	71422424.0	0.0	0.0
SRR28210344	66458178.0	66458178.0	66458178.0	66454805.0	66454805.0	0.0	0.0	66454805.0	66454805.0	0.0	0.0
SRR28210345	63540610.0	63540610.0	63540610.0	63536585.0	63536585.0	0.0	0.0	63536585.0	63536585.0	0.0	0.0
SRR28210346	33233517.0	33233517.0	33233517.0	33231994.0	33231994.0	0.0	0.0	33231994.0	33231994.0	0.0	0.0
SRR28210347	71359425.0	71359425.0	71359425.0	71345007.0	71345007.0	0.0	0.0	71345007.0	71345007.0	0.0	0.0
SRR28210348	37169949.0	37169949.0	37169949.0	37168808.0	37168808.0	0.0	0.0	37168808.0	37168808.0	0.0	0.0
SRR28210349	33939291.0	33939291.0	33939291.0	33928374.0	33928374.0	0.0	0.0	33928374.0	33928374.0	0.0	0.0
SRR28210350	35101486.0	35101486.0	35101486.0	35097364.0	35097364.0	0.0	0.0	35097364.0	35097364.0	0.0	0.0
SRR28210351	38000536.0	38000536.0	38000536.0	37991639.0	37991639.0	0.0	0.0	37991639.0	37991639.0	0.0	0.0
SRR28210352	35229716.0	35229716.0	35229716.0	35228580.0	35228580.0	0.0	0.0	35228580.0	35228580.0	0.0	0.0
SRR28210353	34991366.0	34991366.0	34991366.0	34988935.0	34988935.0	0.0	0.0	34988935.0	34988935.0	0.0	0.0
SRR28210354	41104856.0	41104856.0	41104856.0	41100740.0	41100740.0	0.0	0.0	41100740.0	41100740.0	0.0	0.0
SRR28210355	34731537.0	34731537.0	34731537.0	34728949.0	34728949.0	0.0	0.0	34728949.0	34728949.0	0.0	0.0
SRR28210356	37207697.0	37207697.0	37207697.0	37200617.0	37200617.0	0.0	0.0	37200617.0	37200617.0	0.0	0.0
SRR28210357	36977340.0	36977340.0	36977340.0	36965793.0	36965793.0	0.0	0.0	36965793.0	36965793.0	0.0	0.0
SRR28210358	58342580.0	58342580.0	58342580.0	58340240.0	58340240.0	0.0	0.0	58340240.0	58340240.0	0.0	0.0
SRR28210359	35300372.0	35300372.0	35300372.0	35299189.0	35299189.0	0.0	0.0	35299189.0	35299189.0	0.0	0.0
SRR28210360	34148554.0	34148554.0	34148554.0	34145830.0	34145830.0	0.0	0.0	34145830.0	34145830.0	0.0	0.0
SRR28210361	36827134.0	36827134.0	36827134.0	36826037.0	36826037.0	0.0	0.0	36826037.0	36826037.0	0.0	0.0
SRR28210362	38361488.0	38361488.0	38361488.0	38359640.0	38359640.0	0.0	0.0	38359640.0	38359640.0	0.0	0.0
SRR28210363	36384594.0	36384594.0	36384594.0	36382083.0	36382083.0	0.0	0.0	36382083.0	36382083.0	0.0	0.0
SRR28210364	36951107.0	36951107.0	36951107.0	36949833.0	36949833.0	0.0	0.0	36949833.0	36949833.0	0.0	0.0
SRR28210365	37703976.0	37703976.0	37703976.0	37701770.0	37701770.0	0.0	0.0	37701770.0	37701770.0	0.0	0.0
SRR28210366	37832131.0	37832131.0	37832131.0	37799799.0	37799799.0	0.0	0.0	37799799.0	37799799.0	0.0	0.0
SRR28210367	36271522.0	36271522.0	36271522.0	36270456.0	36270456.0	0.0	0.0	36270456.0	36270456.0	0.0	0.0
SRR28210368	35786030.0	35786030.0	35786030.0	35783909.0	35783909.0	0.0	0.0	35783909.0	35783909.0	0.0	0.0
SRR28210369	66399170.0	66399170.0	66399170.0	66392536.0	66392536.0	0.0	0.0	66392536.0	66392536.0	0.0	0.0
SRR28210370	35953549.0	35953549.0	35953549.0	35951542.0	35951542.0	0.0	0.0	35951542.0	35951542.0	0.0	0.0
SRR28210371	37380273.0	37380273.0	37380273.0	37378861.0	37378861.0	0.0	0.0	37378861.0	37378861.0	0.0	0.0
SRR28210372	40099788.0	40099788.0	40099788.0	40098185.0	40098185.0	0.0	0.0	40098185.0	40098185.0	0.0	0.0
SRR28210373	36396451.0	36396451.0	36396451.0	36394495.0	36394495.0	0.0	0.0	36394495.0	36394495.0	0.0	0.0
SRR28210374	37329702.0	37329702.0	37329702.0	37326522.0	37326522.0	0.0	0.0	37326522.0	37326522.0	0.0	0.0
SRR28210375	34895285.0	34895285.0	34895285.0	34892918.0	34892918.0	0.0	0.0	34892918.0	34892918.0	0.0	0.0
SRR28210376	38887365.0	38887365.0	38887365.0	38885947.0	38885947.0	0.0	0.0	38885947.0	38885947.0	0.0	0.0
SRR28210377	36773465.0	36773465.0	36773465.0	36771956.0	36771956.0	0.0	0.0	36771956.0	36771956.0	0.0	0.0
SRR28210378	62711137.0	62711137.0	62711137.0	62707748.0	62707748.0	0.0	0.0	62707748.0	62707748.0	0.0	0.0
SRR28210379	67864030.0	67864030.0	67864030.0	67857604.0	67857604.0	0.0	0.0	67857604.0	67857604.0	0.0	0.0
SRR28210380	70553707.0	70553707.0	70553707.0	70552294.0	70552294.0	0.0	0.0	70552294.0	70552294.0	0.0	0.0
SRR28210381	68556289.0	68556289.0	68556289.0	68553075.0	68553075.0	0.0	0.0	68553075.0	68553075.0	0.0	0.0
