SampleID	Group
SRR28210342	HC
SRR28210343	HC
SRR28210344	HC
SRR28210345	HC
SRR28210346	HC
SRR28210347	HC
SRR28210348	ID
SRR28210349	ID
SRR28210350	ID
SRR28210351	ID
SRR28210352	ID
SRR28210353	ID
SRR28210354	ID
SRR28210355	ID
SRR28210356	ID
SRR28210357	ID
SRR28210358	HC
SRR28210359	ID
SRR28210360	ID
SRR28210361	ID
SRR28210362	ID
SRR28210363	ID
SRR28210364	ID
SRR28210365	ID
SRR28210366	ID
SRR28210367	ID
SRR28210368	ID
SRR28210369	HC
SRR28210370	HC
SRR28210371	HC
SRR28210372	HC
SRR28210373	HC
SRR28210374	HC
SRR28210375	HC
SRR28210376	HC
SRR28210377	HC
SRR28210378	HC
SRR28210379	HC
SRR28210380	HC
SRR28210381	HC
