SampleID	Raw	Clean
SRR28210342	62290558	62164652
SRR28210343	71594557	71436086
SRR28210344	66640278	66458178
SRR28210345	63755706	63540610
SRR28210346	33322868	33233517
SRR28210347	71561415	71359425
SRR28210348	37268048	37169949
SRR28210349	34040233	33939291
SRR28210350	35200640	35101486
SRR28210351	38085309	38000536
SRR28210352	35320971	35229716
SRR28210353	35115848	34991366
SRR28210354	41234504	41104856
SRR28210355	34819374	34731537
SRR28210356	37312599	37207697
SRR28210357	37056286	36977340
SRR28210358	58530059	58342580
SRR28210359	35393961	35300372
SRR28210360	34235193	34148554
SRR28210361	36932379	36827134
SRR28210362	38461163	38361488
SRR28210363	36483298	36384594
SRR28210364	37031842	36951107
SRR28210365	37813999	37703976
SRR28210366	37942980	37832131
SRR28210367	36369676	36271522
SRR28210368	35875585	35786030
SRR28210369	66583008	66399170
SRR28210370	36050536	35953549
SRR28210371	37471042	37380273
SRR28210372	40223573	40099788
SRR28210373	36479659	36396451
SRR28210374	37426820	37329702
SRR28210375	35009636	34895285
SRR28210376	38994354	38887365
SRR28210377	36875344	36773465
SRR28210378	62861087	62711137
SRR28210379	68030016	67864030
SRR28210380	70740343	70553707
SRR28210381	68859759	68556289
