#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/gaoyunyun/miniconda3/envs/humann4/bin/metaphlan temp/concat/SRR28210358.fq --input_type fastq --db_dir /data/bjfu/db/metaphlan4/ -x mpa_vOct22_CHOCOPhlAnSGB_202403 --offline -t rel_ab_w_read_stats -o temp/metaphlan/SRR28210358_profile.tsv --nproc 8 --verbose
#116670830 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 97730396
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	16.23408	-	18940434
k__Bacteria	2	83.76592161039738	31.381453980808548	97730396
k__Bacteria|p__Firmicutes	2|1239	59.95657247939935	22.461694148058715	60119385
k__Bacteria|p__Bacteroidetes	2|976	17.569768032306275	6.582209147206553	31657073
k__Bacteria|p__Actinobacteria	2|201174	5.328576441625726	1.9962604912846174	4456920
k__Bacteria|p__Proteobacteria	2|1224	0.6016319787823572	0.22539033720821136	1171122
k__Bacteria|p__Verrucomicrobia	2|74201	0.30937267828368065	0.1158998570504488	325896
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	53.52018334788396	20.050412201968022	54400582
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	17.569768032306275	6.582209147206553	31657073
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	3.925840694930172	1.470749884397181	3213833
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	3.007958855699921	1.1268806410521341	2359457
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.4027357466955537	0.5255106068874366	1243087
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	1.2088511445361279	0.45287525461350464	1054202
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.0639612299266235	0.3985935554812175	1133318
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.6571855379943726	0.24620258648166155	583361
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.42738210864840853	0.16011121041910484	959217
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.30937267828368065	0.1158998570504488	325896
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.14387634695801854	0.05390141140290954	163446
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.12702264353000658	0.047587649747461894	136014
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.12491174230542458	0.04679467738755952	137961
k__Bacteria|p__Firmicutes|c__CFGB3005	2|1239|	0.0818728117820024	0.030672333534205603	77928
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.047227226603942046	0.01769147704164464	75891
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.04227666063676756	0.015838779974152162	37381
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.034854999982086354	0.013057745498530057	37838
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.02304400503502032	0.008632650439419739	35074
